chair,date,res,filename
Bernanke,2011-04-27,144p,
Bernanke,2011-06-22,144p,
Bernanke,2011-11-02,144p,
Bernanke,2012-01-25,240p,
Bernanke,2012-04-25,720p,
Bernanke,2012-06-20,720p,
Bernanke,2012-09-13,720p,
Bernanke,2012-12-12,720p,
Bernanke,2013-03-20,720p,
Bernanke,2013-06-19,720p,
Bernanke,2013-09-18,720p,
Bernanke,2013-12-18,720p,
Yellen,2014-03-19,720p,
Yellen,2014-06-18,720p,
Yellen,2014-09-17,720p,
Yellen,2014-12-17,720p,
Yellen,2015-03-18,720p,
Yellen,2015-06-17,720p,
Yellen,2015-09-17,720p,
Yellen,2015-12-16,720p,
Yellen,2016-03-16,720p,
Yellen,2016-06-15,720p,
Yellen,2016-09-21,720p,
Yellen,2016-12-14,720p,
Yellen,2017-03-15,720p,
Yellen,2017-06-14,720p,
Yellen,2017-09-20,720p,
Yellen,2017-12-13,720p,
Powell,2018-03-21,720p,
Powell,2018-06-13,720p,
Powell,2018-09-26,720p,
Powell,2018-12-19,720p,
Powell,2019-01-30,720p,
Powell,2019-03-20,720p,
Powell,2019-05-01,720p,
Powell,2019-06-19,720p,
Powell,2019-07-31,720p,
Powell,2019-09-18,720p,
Powell,2019-10-30,720p,
Powell,2019-12-11,720p,
Powell,2020-01-29,720p,
Powell,2020-03-03,720p,
Powell,2020-03-15,720p,
Powell,2020-04-29,720p,
Powell,2020-06-10,720p,
Powell,2020-07-29,720p,
Powell,2020-09-16,720p,
Powell,2020-11-05,720p,
Powell,2020-12-16,720p,
Powell,2021-01-27,720p,
Powell,2021-03-17,720p,
Powell,2021-06-16,720p,
Powell,2021-07-28,720p,
Powell,2021-09-22,720p,
Powell,2021-11-03,720p,
Powell,2021-12-15,720p,
Powell,2022-01-26,720p,
Powell,2022-03-16,720p,
Powell,2022-05-04,720p,
Powell,2022-06-15,720p,
